,CUST_ID,BALANCE,BALANCE_FREQUENCY,PURCHASES,ONEOFF_PURCHASES,INSTALLMENTS_PURCHASES,CASH_ADVANCE,PURCHASES_FREQUENCY,ONEOFF_PURCHASES_FREQUENCY,PURCHASES_INSTALLMENTS_FREQUENCY,CASH_ADVANCE_FREQUENCY,CASH_ADVANCE_TRX,PURCHASES_TRX,CREDIT_LIMIT,PAYMENTS,MINIMUM_PAYMENTS,PRC_FULL_PAYMENT,TENURE
0,3454,4986.400804,1.0,0.0,0.0,0.0,5439.467563,0.0,0.0,0.0,0.583333,40,0,8000.0,1241.538024,1439.230899,0.0,12
1,8344,1571.218695,1.0,375.24,375.24,0.0,1093.862642,0.7,0.7,0.0,0.4,9,8,1700.0,824.975105,563.475533,0.0,10
2,6614,3298.236901,1.0,385.0,385.0,0.0,0.0,0.083333,0.083333,0.0,0.0,0,1,7100.0,911.237387,785.033485,0.0,12
3,3278,17.245539,0.636364,19.5,0.0,19.5,0.0,0.083333,0.0,0.083333,0.0,0,1,1500.0,95.789433,119.880198,0.0,12
4,88,35.16925,0.636364,272.34,0.0,272.34,0.0,0.416667,0.0,0.416667,0.0,0,8,1500.0,386.322209,104.5487,0.272727,12
5,4274,2138.185971,1.0,45.65,45.65,0.0,0.0,0.083333,0.083333,0.0,0.0,0,1,2500.0,728.892219,755.461023,0.0,12
6,6426,8700.079439,1.0,20421.59,16864.56,3557.03,0.0,1.0,1.0,1.0,0.0,0,204,17000.0,13002.30393,2746.592199,0.083333,12
7,2920,70.976464,1.0,0.0,0.0,0.0,1880.659305,0.0,0.0,0.0,0.166667,2,0,1000.0,1860.536797,69.470274,0.181818,12
8,644,19.104261,0.636364,322.77,0.0,322.77,0.0,0.583333,0.0,0.5,0.0,0,7,5300.0,409.550536,174.81905,0.857143,12
9,956,77.285458,1.0,495.0,0.0,495.0,0.0,1.0,0.0,0.916667,0.0,0,12,1500.0,416.913773,206.712535,0.181818,12
